NCBI GeneID,Symbol,Description,Taxonomic Name,Gene Type,Ensembl GeneIDs
1719,DHFR,dihydrofolate reductase,Homo sapiens,PROTEIN_CODING,ENSG00000228716
2002,ELK1,ETS transcription factor ELK1,Homo sapiens,PROTEIN_CODING,ENSG00000126767
2050,EPHB4,EPH receptor B4,Homo sapiens,PROTEIN_CODING,ENSG00000196411
2101,ESRRA,estrogen related receptor alpha,Homo sapiens,PROTEIN_CODING,ENSG00000173153
2175,FANCA,FA complementation group A,Homo sapiens,PROTEIN_CODING,ENSG00000187741
22926,ATF6,activating transcription factor 6,Homo sapiens,PROTEIN_CODING,ENSG00000118217
2313,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",Homo sapiens,PROTEIN_CODING,ENSG00000151702
2348,FOLR1,folate receptor alpha,Homo sapiens,PROTEIN_CODING,ENSG00000110195
2524,FUT2,fucosyltransferase 2,Homo sapiens,PROTEIN_CODING,ENSG00000176920
2627,GATA6,GATA binding protein 6,Homo sapiens,PROTEIN_CODING,ENSG00000141448
2693,GHSR,growth hormone secretagogue receptor,Homo sapiens,PROTEIN_CODING,ENSG00000121853
2736,GLI2,GLI family zinc finger 2,Homo sapiens,PROTEIN_CODING,ENSG00000074047
2737,GLI3,GLI family zinc finger 3,Homo sapiens,PROTEIN_CODING,ENSG00000106571
2739,GLO1,glyoxalase I,Homo sapiens,PROTEIN_CODING,ENSG00000124767
274,BIN1,bridging integrator 1,Homo sapiens,PROTEIN_CODING,ENSG00000136717
2798,GNRHR,gonadotropin releasing hormone receptor,Homo sapiens,PROTEIN_CODING,ENSG00000109163
28234,SLCO1B3,solute carrier organic anion transporter family member 1B3,Homo sapiens,PROTEIN_CODING,ENSG00000111700
2875,GPT,glutamic--pyruvic transaminase,Homo sapiens,PROTEIN_CODING,ENSG00000167701
290,ANPEP,"alanyl aminopeptidase, membrane",Homo sapiens,PROTEIN_CODING,ENSG00000166825
3048,HBG2,hemoglobin subunit gamma 2,Homo sapiens,PROTEIN_CODING,ENSG00000196565
3073,HEXA,hexosaminidase subunit alpha,Homo sapiens,PROTEIN_CODING,ENSG00000213614
3145,HMBS,hydroxymethylbilane synthase,Homo sapiens,PROTEIN_CODING,ENSG00000256269
3184,HNRNPD,heterogeneous nuclear ribonucleoprotein D,Homo sapiens,PROTEIN_CODING,ENSG00000138668
3205,HOXA9,homeobox A9,Homo sapiens,PROTEIN_CODING,ENSG00000078399
3416,IDE,insulin degrading enzyme,Homo sapiens,PROTEIN_CODING,ENSG00000119912
3428,IFI16,interferon gamma inducible protein 16,Homo sapiens,PROTEIN_CODING,ENSG00000163565
346389,MACC1,MET transcriptional regulator MACC1,Homo sapiens,PROTEIN_CODING,ENSG00000183742
3623,INHA,inhibin subunit alpha,Homo sapiens,PROTEIN_CODING,ENSG00000123999
368,ABCC6,ATP binding cassette subfamily C member 6,Homo sapiens,PROTEIN_CODING,ENSG00000091262
3728,JUP,junction plakoglobin,Homo sapiens,PROTEIN_CODING,ENSG00000173801
375,ARF1,ADP ribosylation factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000143761
3762,KCNJ5,potassium inwardly rectifying channel subfamily J member 5,Homo sapiens,PROTEIN_CODING,ENSG00000120457
3785,KCNQ2,potassium voltage-gated channel subfamily Q member 2,Homo sapiens,PROTEIN_CODING,ENSG00000075043
3827,KNG1,kininogen 1,Homo sapiens,PROTEIN_CODING,ENSG00000113889
3921,RPSA,ribosomal protein SA,Homo sapiens,PROTEIN_CODING,ENSG00000168028
4070,TACSTD2,tumor associated calcium signal transducer 2,Homo sapiens,PROTEIN_CODING,ENSG00000184292
4256,MGP,matrix Gla protein,Homo sapiens,PROTEIN_CODING,ENSG00000111341
4277,MICB,MHC class I polypeptide-related sequence B,Homo sapiens,PROTEIN_CODING,ENSG00000204516
4478,MSN,moesin,Homo sapiens,PROTEIN_CODING,ENSG00000147065
4486,MST1R,macrophage stimulating 1 receptor,Homo sapiens,PROTEIN_CODING,ENSG00000164078
4487,MSX1,msh homeobox 1,Homo sapiens,PROTEIN_CODING,ENSG00000163132
476,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,Homo sapiens,PROTEIN_CODING,ENSG00000163399
4773,NFATC2,nuclear factor of activated T cells 2,Homo sapiens,PROTEIN_CODING,ENSG00000101096
4855,NOTCH4,notch receptor 4,Homo sapiens,PROTEIN_CODING,ENSG00000204301
4925,NUCB2,nucleobindin 2,Homo sapiens,PROTEIN_CODING,ENSG00000070081
51196,PLCE1,phospholipase C epsilon 1,Homo sapiens,PROTEIN_CODING,ENSG00000138193
5230,PGK1,phosphoglycerate kinase 1,Homo sapiens,PROTEIN_CODING,ENSG00000102144
5244,ABCB4,ATP binding cassette subfamily B member 4,Homo sapiens,PROTEIN_CODING,ENSG00000005471
5524,PTPA,protein phosphatase 2 phosphatase activator,Homo sapiens,PROTEIN_CODING,ENSG00000119383
5588,PRKCQ,protein kinase C theta,Homo sapiens,PROTEIN_CODING,ENSG00000065675
5601,MAPK9,mitogen-activated protein kinase 9,Homo sapiens,PROTEIN_CODING,ENSG00000050748
5657,PRTN3,proteinase 3,Homo sapiens,PROTEIN_CODING,ENSG00000196415
56606,SLC2A9,solute carrier family 2 member 9,Homo sapiens,PROTEIN_CODING,ENSG00000109667
57142,RTN4,reticulon 4,Homo sapiens,PROTEIN_CODING,ENSG00000115310
5734,PTGER4,prostaglandin E receptor 4,Homo sapiens,PROTEIN_CODING,ENSG00000171522
5745,PTH1R,parathyroid hormone 1 receptor,Homo sapiens,PROTEIN_CODING,ENSG00000160801
57650,CIP2A,cellular inhibitor of PP2A,Homo sapiens,PROTEIN_CODING,ENSG00000163507
6103,RPGR,retinitis pigmentosa GTPase regulator,Homo sapiens,PROTEIN_CODING,ENSG00000156313
6278,S100A7,S100 calcium binding protein A7,Homo sapiens,PROTEIN_CODING,ENSG00000143556
6356,CCL11,C-C motif chemokine ligand 11,Homo sapiens,PROTEIN_CODING,ENSG00000172156
639,PRDM1,PR/SET domain 1,Homo sapiens,PROTEIN_CODING,ENSG00000057657
6418,SET,SET nuclear proto-oncogene,Homo sapiens,PROTEIN_CODING,ENSG00000119335
6427,SRSF2,serine and arginine rich splicing factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000161547
6439,SFTPB,surfactant protein B,Homo sapiens,PROTEIN_CODING,ENSG00000168878
6520,SLC3A2,solute carrier family 3 member 2,Homo sapiens,PROTEIN_CODING,ENSG00000168003
6559,SLC12A3,solute carrier family 12 member 3,Homo sapiens,PROTEIN_CODING,ENSG00000070915
6595,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",Homo sapiens,PROTEIN_CODING,ENSG00000080503
664,BNIP3,BCL2 interacting protein 3,Homo sapiens,PROTEIN_CODING,ENSG00000176171
6721,SREBF2,sterol regulatory element binding transcription factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000198911
6722,SRF,serum response factor,Homo sapiens,PROTEIN_CODING,ENSG00000112658
6737,TRIM21,tripartite motif containing 21,Homo sapiens,PROTEIN_CODING,ENSG00000132109
6891,TAP2,"transporter 2, ATP binding cassette subfamily B member",Homo sapiens,PROTEIN_CODING,ENSG00000204267
6915,TBXA2R,thromboxane A2 receptor,Homo sapiens,PROTEIN_CODING,ENSG00000006638
7031,TFF1,trefoil factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000160182
708,C1QBP,complement C1q binding protein,Homo sapiens,PROTEIN_CODING,ENSG00000108561
7096,TLR1,toll like receptor 1,Homo sapiens,PROTEIN_CODING,ENSG00000174125
71,ACTG1,actin gamma 1,Homo sapiens,PROTEIN_CODING,ENSG00000184009
720,C4A,complement C4A (Chido/Rodgers blood group),Homo sapiens,PROTEIN_CODING,ENSG00000244731
7220,TRPC1,transient receptor potential cation channel subfamily C member 1,Homo sapiens,PROTEIN_CODING,ENSG00000144935
7296,TXNRD1,thioredoxin reductase 1,Homo sapiens,PROTEIN_CODING,ENSG00000198431
7297,TYK2,tyrosine kinase 2,Homo sapiens,PROTEIN_CODING,ENSG00000105397
7332,UBE2L3,ubiquitin conjugating enzyme E2 L3,Homo sapiens,PROTEIN_CODING,ENSG00000185651
7350,UCP1,uncoupling protein 1,Homo sapiens,PROTEIN_CODING,ENSG00000109424
7352,UCP3,uncoupling protein 3,Homo sapiens,PROTEIN_CODING,ENSG00000175564
7498,XDH,xanthine dehydrogenase,Homo sapiens,PROTEIN_CODING,ENSG00000158125
7879,RAB7A,"RAB7A, member RAS oncogene family",Homo sapiens,PROTEIN_CODING,ENSG00000075785
79577,CDC73,cell division cycle 73,Homo sapiens,PROTEIN_CODING,ENSG00000134371
7980,TFPI2,tissue factor pathway inhibitor 2,Homo sapiens,PROTEIN_CODING,ENSG00000105825
8000,PSCA,prostate stem cell antigen,Homo sapiens,PROTEIN_CODING,ENSG00000167653
80312,TET1,tet methylcytosine dioxygenase 1,Homo sapiens,PROTEIN_CODING,ENSG00000138336
81631,MAP1LC3B,microtubule associated protein 1 light chain 3 beta,Homo sapiens,PROTEIN_CODING,ENSG00000140941
83737,ITCH,itchy E3 ubiquitin protein ligase,Homo sapiens,PROTEIN_CODING,ENSG00000078747
8398,PLA2G6,phospholipase A2 group VI,Homo sapiens,PROTEIN_CODING,ENSG00000184381
840,CASP7,caspase 7,Homo sapiens,PROTEIN_CODING,ENSG00000165806
8408,ULK1,unc-51 like autophagy activating kinase 1,Homo sapiens,PROTEIN_CODING,ENSG00000177169
8771,TNFRSF6B,TNF receptor superfamily member 6b,Homo sapiens,PROTEIN_CODING,ENSG00000243509
8929,PHOX2B,paired like homeobox 2B,Homo sapiens,PROTEIN_CODING,ENSG00000109132
9474,ATG5,autophagy related 5,Homo sapiens,PROTEIN_CODING,ENSG00000057663
9582,APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,Homo sapiens,PROTEIN_CODING,ENSG00000179750
967,CD63,CD63 molecule,Homo sapiens,PROTEIN_CODING,ENSG00000135404
972,CD74,CD74 molecule,Homo sapiens,PROTEIN_CODING,ENSG00000019582
10000,AKT3,AKT serine/threonine kinase 3,Homo sapiens,PROTEIN_CODING,ENSG00000117020
10365,KLF2,KLF transcription factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000127528
10411,RAPGEF3,Rap guanine nucleotide exchange factor 3,Homo sapiens,PROTEIN_CODING,ENSG00000079337
10642,IGF2BP1,insulin like growth factor 2 mRNA binding protein 1,Homo sapiens,PROTEIN_CODING,ENSG00000159217
10644,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,Homo sapiens,PROTEIN_CODING,ENSG00000073792
112476,PRRT2,proline rich transmembrane protein 2,Homo sapiens,PROTEIN_CODING,ENSG00000167371
116,ADCYAP1,adenylate cyclase activating polypeptide 1,Homo sapiens,PROTEIN_CODING,ENSG00000141433
1232,CCR3,C-C motif chemokine receptor 3,Homo sapiens,PROTEIN_CODING,ENSG00000183625
1289,COL5A1,collagen type V alpha 1 chain,Homo sapiens,PROTEIN_CODING,ENSG00000130635
1364,CLDN4,claudin 4,Homo sapiens,PROTEIN_CODING,ENSG00000189143
1380,CR2,complement C3d receptor 2,Homo sapiens,PROTEIN_CODING,ENSG00000117322
1399,CRKL,"CRK like proto-oncogene, adaptor protein",Homo sapiens,PROTEIN_CODING,ENSG00000099942
1441,CSF3R,colony stimulating factor 3 receptor,Homo sapiens,PROTEIN_CODING,ENSG00000119535
1734,DIO2,iodothyronine deiodinase 2,Homo sapiens,PROTEIN_CODING,ENSG00000211448
1742,DLG4,discs large MAGUK scaffold protein 4,Homo sapiens,PROTEIN_CODING,ENSG00000132535
1755,DMBT1,deleted in malignant brain tumors 1,Homo sapiens,PROTEIN_CODING,ENSG00000187908
176,ACAN,aggrecan,Homo sapiens,PROTEIN_CODING,ENSG00000157766
210,ALAD,aminolevulinate dehydratase,Homo sapiens,PROTEIN_CODING,ENSG00000148218
215,ABCD1,ATP binding cassette subfamily D member 1,Homo sapiens,PROTEIN_CODING,ENSG00000101986
2168,FABP1,fatty acid binding protein 1,Homo sapiens,PROTEIN_CODING,ENSG00000163586
2170,FABP3,fatty acid binding protein 3,Homo sapiens,PROTEIN_CODING,ENSG00000121769
2202,EFEMP1,EGF containing fibulin extracellular matrix protein 1,Homo sapiens,PROTEIN_CODING,ENSG00000115380
2252,FGF7,fibroblast growth factor 7,Homo sapiens,PROTEIN_CODING,ENSG00000140285
2271,FH,fumarate hydratase,Homo sapiens,PROTEIN_CODING,ENSG00000091483
2303,FOXC2,forkhead box C2,Homo sapiens,PROTEIN_CODING,ENSG00000176692
23468,CBX5,chromobox 5,Homo sapiens,PROTEIN_CODING,ENSG00000094916
2358,FPR2,formyl peptide receptor 2,Homo sapiens,PROTEIN_CODING,ENSG00000171049
241,ALOX5AP,arachidonate 5-lipoxygenase activating protein,Homo sapiens,PROTEIN_CODING,ENSG00000132965
2495,FTH1,ferritin heavy chain 1,Homo sapiens,PROTEIN_CODING,ENSG00000167996
2592,GALT,galactose-1-phosphate uridylyltransferase,Homo sapiens,PROTEIN_CODING,ENSG00000213930
25942,SIN3A,SIN3 transcription regulator family member A,Homo sapiens,PROTEIN_CODING,ENSG00000169375
26585,GREM1,"gremlin 1, DAN family BMP antagonist",Homo sapiens,PROTEIN_CODING,ENSG00000166923
2746,GLUD1,glutamate dehydrogenase 1,Homo sapiens,PROTEIN_CODING,ENSG00000148672
29102,DROSHA,drosha ribonuclease III,Homo sapiens,PROTEIN_CODING,ENSG00000113360
29108,PYCARD,PYD and CARD domain containing,Homo sapiens,PROTEIN_CODING,ENSG00000103490
29851,ICOS,inducible T cell costimulator,Homo sapiens,PROTEIN_CODING,ENSG00000163600
3055,HCK,"HCK proto-oncogene, Src family tyrosine kinase",Homo sapiens,PROTEIN_CODING,ENSG00000101336
3060,HCRT,hypocretin neuropeptide precursor,Homo sapiens,PROTEIN_CODING,ENSG00000161610
3339,HSPG2,heparan sulfate proteoglycan 2,Homo sapiens,PROTEIN_CODING,ENSG00000142798
336,APOA2,apolipoprotein A2,Homo sapiens,PROTEIN_CODING,ENSG00000158874
341,APOC1,apolipoprotein C1,Homo sapiens,PROTEIN_CODING,ENSG00000130208
3488,IGFBP5,insulin like growth factor binding protein 5,Homo sapiens,PROTEIN_CODING,ENSG00000115461
362,AQP5,aquaporin 5,Homo sapiens,PROTEIN_CODING,ENSG00000161798
3861,KRT14,keratin 14,Homo sapiens,PROTEIN_CODING,ENSG00000186847
389,RHOC,ras homolog family member C,Homo sapiens,PROTEIN_CODING,ENSG00000155366
4001,LMNB1,lamin B1,Homo sapiens,PROTEIN_CODING,ENSG00000113368
4017,LOXL2,lysyl oxidase like 2,Homo sapiens,PROTEIN_CODING,ENSG00000134013
406,BMAL1,basic helix-loop-helix ARNT like 1,Homo sapiens,PROTEIN_CODING,ENSG00000133794
410,ARSA,arylsulfatase A,Homo sapiens,PROTEIN_CODING,ENSG00000100299
4176,MCM7,minichromosome maintenance complex component 7,Homo sapiens,PROTEIN_CODING,ENSG00000166508
4208,MEF2C,myocyte enhancer factor 2C,Homo sapiens,PROTEIN_CODING,ENSG00000081189
4345,CD200,CD200 molecule,Homo sapiens,PROTEIN_CODING,ENSG00000091972
4522,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",Homo sapiens,PROTEIN_CODING,ENSG00000100714
4868,NPHS1,"NPHS1 adhesion molecule, nephrin",Homo sapiens,PROTEIN_CODING,ENSG00000161270
4916,NTRK3,neurotrophic receptor tyrosine kinase 3,Homo sapiens,PROTEIN_CODING,ENSG00000140538
5008,OSM,oncostatin M,Homo sapiens,PROTEIN_CODING,ENSG00000099985
5009,OTC,ornithine transcarbamylase,Homo sapiens,PROTEIN_CODING,ENSG00000036473
5047,PAEP,progestagen associated endometrial protein,Homo sapiens,PROTEIN_CODING,ENSG00000122133
5154,PDGFA,platelet derived growth factor subunit A,Homo sapiens,PROTEIN_CODING,ENSG00000197461
5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Homo sapiens,PROTEIN_CODING,ENSG00000051382
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",Homo sapiens,PROTEIN_CODING,ENSG00000171608
5350,PLN,phospholamban,Homo sapiens,PROTEIN_CODING,ENSG00000198523
5426,POLE,"DNA polymerase epsilon, catalytic subunit",Homo sapiens,PROTEIN_CODING,ENSG00000177084
54600,UGT1A9,UDP glucuronosyltransferase family 1 member A9,Homo sapiens,PROTEIN_CODING,ENSG00000241119
55636,CHD7,chromodomain helicase DNA binding protein 7,Homo sapiens,PROTEIN_CODING,ENSG00000171316
55908,ANGPTL8,angiopoietin like 8,Homo sapiens,PROTEIN_CODING,ENSG00000130173
573,BAG1,BAG cochaperone 1,Homo sapiens,PROTEIN_CODING,ENSG00000107262
57447,NDRG2,NDRG family member 2,Homo sapiens,PROTEIN_CODING,ENSG00000165795
5764,PTN,pleiotrophin,Homo sapiens,PROTEIN_CODING,ENSG00000105894
5771,PTPN2,protein tyrosine phosphatase non-receptor type 2,Homo sapiens,PROTEIN_CODING,ENSG00000175354
6037,RNASE3,ribonuclease A family member 3,Homo sapiens,PROTEIN_CODING,ENSG00000169397
6041,RNASEL,ribonuclease L,Homo sapiens,PROTEIN_CODING,ENSG00000135828
6095,RORA,RAR related orphan receptor A,Homo sapiens,PROTEIN_CODING,ENSG00000069667
6197,RPS6KA3,ribosomal protein S6 kinase A3,Homo sapiens,PROTEIN_CODING,ENSG00000177189
6272,SORT1,sortilin 1,Homo sapiens,PROTEIN_CODING,ENSG00000134243
6283,S100A12,S100 calcium binding protein A12,Homo sapiens,PROTEIN_CODING,ENSG00000163221
629,CFB,complement factor B,Homo sapiens,PROTEIN_CODING,ENSG00000243649
6361,CCL17,C-C motif chemokine ligand 17,Homo sapiens,PROTEIN_CODING,ENSG00000102970
6362,CCL18,C-C motif chemokine ligand 18,Homo sapiens,PROTEIN_CODING,ENSG00000275385
6366,CCL21,C-C motif chemokine ligand 21,Homo sapiens,PROTEIN_CODING,ENSG00000137077
6374,CXCL5,C-X-C motif chemokine ligand 5,Homo sapiens,PROTEIN_CODING,ENSG00000163735
6392,SDHD,succinate dehydrogenase complex subunit D,Homo sapiens,PROTEIN_CODING,ENSG00000204370
6416,MAP2K4,mitogen-activated protein kinase kinase 4,Homo sapiens,PROTEIN_CODING,ENSG00000065559
6473,SHOX,SHOX homeobox,Homo sapiens,PROTEIN_CODING,"ENSG00000185960,ENSG00000292354"
653361,NCF1,neutrophil cytosolic factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000158517
6590,SLPI,secretory leukocyte peptidase inhibitor,Homo sapiens,PROTEIN_CODING,ENSG00000124107
6670,SP3,Sp3 transcription factor,Homo sapiens,PROTEIN_CODING,ENSG00000172845
6741,SSB,small RNA binding exonuclease protection factor La,Homo sapiens,PROTEIN_CODING,ENSG00000138385
7013,TERF1,telomeric repeat binding factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000147601
7066,THPO,thrombopoietin,Homo sapiens,PROTEIN_CODING,ENSG00000090534
7067,THRA,thyroid hormone receptor alpha,Homo sapiens,PROTEIN_CODING,ENSG00000126351
7226,TRPM2,transient receptor potential cation channel subfamily M member 2,Homo sapiens,PROTEIN_CODING,ENSG00000142185
7272,TTK,TTK protein kinase,Homo sapiens,PROTEIN_CODING,ENSG00000112742
728,C5AR1,complement C5a receptor 1,Homo sapiens,PROTEIN_CODING,ENSG00000197405
7292,TNFSF4,TNF superfamily member 4,Homo sapiens,PROTEIN_CODING,ENSG00000117586
7314,UBB,ubiquitin B,Homo sapiens,PROTEIN_CODING,ENSG00000170315
7374,UNG,uracil DNA glycosylase,Homo sapiens,PROTEIN_CODING,ENSG00000076248
7465,WEE1,WEE1 G2 checkpoint kinase,Homo sapiens,PROTEIN_CODING,ENSG00000166483
7532,YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,Homo sapiens,PROTEIN_CODING,ENSG00000170027
7913,DEK,DEK proto-oncogene,Homo sapiens,PROTEIN_CODING,ENSG00000124795
79727,LIN28A,lin-28 homolog A,Homo sapiens,PROTEIN_CODING,ENSG00000131914
8085,KMT2D,lysine methyltransferase 2D,Homo sapiens,PROTEIN_CODING,ENSG00000167548
8200,GDF5,growth differentiation factor 5,Homo sapiens,PROTEIN_CODING,ENSG00000125965
8434,RECK,reversion inducing cysteine rich protein with kazal motifs,Homo sapiens,PROTEIN_CODING,ENSG00000122707
8493,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",Homo sapiens,PROTEIN_CODING,ENSG00000170836
862,RUNX1T1,RUNX1 partner transcriptional co-repressor 1,Homo sapiens,PROTEIN_CODING,ENSG00000079102
8644,AKR1C3,aldo-keto reductase family 1 member C3,Homo sapiens,PROTEIN_CODING,ENSG00000196139
8863,PER3,period circadian regulator 3,Homo sapiens,PROTEIN_CODING,ENSG00000049246
8864,PER2,period circadian regulator 2,Homo sapiens,PROTEIN_CODING,ENSG00000132326
9049,AIP,aryl hydrocarbon receptor interacting protein,Homo sapiens,PROTEIN_CODING,ENSG00000110711
91752,ZNF804A,zinc finger protein 804A,Homo sapiens,PROTEIN_CODING,ENSG00000170396
93986,FOXP2,forkhead box P2,Homo sapiens,PROTEIN_CODING,ENSG00000128573
94,ACVRL1,activin A receptor like type 1,Homo sapiens,PROTEIN_CODING,ENSG00000139567
9415,FADS2,fatty acid desaturase 2,Homo sapiens,PROTEIN_CODING,ENSG00000134824
953,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,Homo sapiens,PROTEIN_CODING,ENSG00000138185
993,CDC25A,cell division cycle 25A,Homo sapiens,PROTEIN_CODING,ENSG00000164045
995,CDC25C,cell division cycle 25C,Homo sapiens,PROTEIN_CODING,ENSG00000158402
10020,GNE,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,Homo sapiens,PROTEIN_CODING,ENSG00000159921
10146,G3BP1,G3BP stress granule assembly factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000145907
10253,SPRY2,sprouty RTK signaling antagonist 2,Homo sapiens,PROTEIN_CODING,ENSG00000136158
10280,SIGMAR1,sigma non-opioid intracellular receptor 1,Homo sapiens,PROTEIN_CODING,ENSG00000147955
10410,IFITM3,interferon induced transmembrane protein 3,Homo sapiens,PROTEIN_CODING,ENSG00000142089
10481,HOXB13,homeobox B13,Homo sapiens,PROTEIN_CODING,ENSG00000159184
10551,AGR2,"anterior gradient 2, protein disulphide isomerase family member",Homo sapiens,PROTEIN_CODING,ENSG00000106541
1058,CENPA,centromere protein A,Homo sapiens,PROTEIN_CODING,ENSG00000115163
10801,SEPTIN9,septin 9,Homo sapiens,PROTEIN_CODING,ENSG00000184640
10804,GJB6,gap junction protein beta 6,Homo sapiens,PROTEIN_CODING,ENSG00000121742
10859,LILRB1,leukocyte immunoglobulin like receptor B1,Homo sapiens,PROTEIN_CODING,ENSG00000104972
11065,UBE2C,ubiquitin conjugating enzyme E2 C,Homo sapiens,PROTEIN_CODING,ENSG00000175063
1129,CHRM2,cholinergic receptor muscarinic 2,Homo sapiens,PROTEIN_CODING,ENSG00000181072
115004,CGAS,cyclic GMP-AMP synthase,Homo sapiens,PROTEIN_CODING,ENSG00000164430
1285,COL4A3,collagen type IV alpha 3 chain,Homo sapiens,PROTEIN_CODING,ENSG00000169031
1308,COL17A1,collagen type XVII alpha 1 chain,Homo sapiens,PROTEIN_CODING,ENSG00000065618
1459,CSNK2A2,casein kinase 2 alpha 2,Homo sapiens,PROTEIN_CODING,ENSG00000070770
151,ADRA2B,adrenoceptor alpha 2B,Homo sapiens,PROTEIN_CODING,ENSG00000274286
1525,CXADR,CXADR Ig-like cell adhesion molecule,Homo sapiens,PROTEIN_CODING,ENSG00000154639
1573,CYP2J2,cytochrome P450 family 2 subfamily J member 2,Homo sapiens,PROTEIN_CODING,ENSG00000134716
1639,DCTN1,dynactin subunit 1,Homo sapiens,PROTEIN_CODING,ENSG00000204843
1829,DSG2,desmoglein 2,Homo sapiens,PROTEIN_CODING,ENSG00000046604
1871,E2F3,E2F transcription factor 3,Homo sapiens,PROTEIN_CODING,ENSG00000112242
189,AGXT,alanine--glyoxylate aminotransferase,Homo sapiens,PROTEIN_CODING,ENSG00000172482
203068,TUBB,tubulin beta class I,Homo sapiens,PROTEIN_CODING,ENSG00000196230
2048,EPHB2,EPH receptor B2,Homo sapiens,PROTEIN_CODING,ENSG00000133216
2205,FCER1A,Fc epsilon receptor Ia,Homo sapiens,PROTEIN_CODING,ENSG00000179639
2208,FCER2,Fc epsilon receptor II,Homo sapiens,PROTEIN_CODING,ENSG00000104921
2217,FCGRT,Fc gamma receptor and transporter,Homo sapiens,PROTEIN_CODING,ENSG00000104870
2277,VEGFD,vascular endothelial growth factor D,Homo sapiens,PROTEIN_CODING,ENSG00000165197
22861,NLRP1,NLR family pyrin domain containing 1,Homo sapiens,PROTEIN_CODING,ENSG00000091592
2328,FMO3,flavin containing dimethylaniline monoxygenase 3,Homo sapiens,PROTEIN_CODING,ENSG00000007933
23314,SATB2,SATB homeobox 2,Homo sapiens,PROTEIN_CODING,ENSG00000119042
2357,FPR1,formyl peptide receptor 1,Homo sapiens,PROTEIN_CODING,ENSG00000171051
239,ALOX12,"arachidonate 12-lipoxygenase, 12S type",Homo sapiens,PROTEIN_CODING,ENSG00000108839
2494,NR5A2,nuclear receptor subfamily 5 group A member 2,Homo sapiens,PROTEIN_CODING,ENSG00000116833
2566,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,Homo sapiens,PROTEIN_CODING,ENSG00000113327
267012,DAOA,D-amino acid oxidase activator,Homo sapiens,PROTEIN_CODING,ENSG00000182346
28996,HIPK2,homeodomain interacting protein kinase 2,Homo sapiens,PROTEIN_CODING,ENSG00000064393
3125,HLA-DRB3,"major histocompatibility complex, class II, DR beta 3",Homo sapiens,PROTEIN_CODING,
3126,HLA-DRB4,"major histocompatibility complex, class II, DR beta 4",Homo sapiens,PROTEIN_CODING,
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",Homo sapiens,PROTEIN_CODING,ENSG00000198502
3170,FOXA2,forkhead box A2,Homo sapiens,PROTEIN_CODING,ENSG00000125798
3280,HES1,hes family bHLH transcription factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000114315
3292,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1,Homo sapiens,PROTEIN_CODING,ENSG00000108786
3359,HTR3A,5-hydroxytryptamine receptor 3A,Homo sapiens,PROTEIN_CODING,ENSG00000166736
3423,IDS,iduronate 2-sulfatase,Homo sapiens,PROTEIN_CODING,ENSG00000010404
3440,IFNA2,interferon alpha 2,Homo sapiens,PROTEIN_CODING,ENSG00000188379
3454,IFNAR1,interferon alpha and beta receptor subunit 1,Homo sapiens,PROTEIN_CODING,ENSG00000142166
3516,RBPJ,recombination signal binding protein for immunoglobulin kappa J region,Homo sapiens,PROTEIN_CODING,ENSG00000168214
3665,IRF7,interferon regulatory factor 7,Homo sapiens,PROTEIN_CODING,ENSG00000185507
3704,ITPA,inosine triphosphatase,Homo sapiens,PROTEIN_CODING,ENSG00000125877
389421,LIN28B,lin-28 homolog B,Homo sapiens,PROTEIN_CODING,ENSG00000187772
3918,LAMC2,laminin subunit gamma 2,Homo sapiens,PROTEIN_CODING,ENSG00000058085
3959,LGALS3BP,galectin 3 binding protein,Homo sapiens,PROTEIN_CODING,ENSG00000108679
4036,LRP2,LDL receptor related protein 2,Homo sapiens,PROTEIN_CODING,ENSG00000081479
4149,MAX,MYC associated factor X,Homo sapiens,PROTEIN_CODING,ENSG00000125952
